region,commune,number_of_municipalities_in_region,school_water_source_municipality,school_water_source_ranking_below,school_latrine_municipality,school_latrine_ranking_below,school_supplies_delay_municipality,school_supplies_delay_ranking_below,CEP_admission_municipality,CEP_admission_ranking_below,functional_water_source_municipality,functional_water_source_ranking_below,CSPS_gas_municipality,CSPS_gas_ranking_below,vaccinated_infants_municipality,vaccinated_infants_ranking_below,assisted_deliveries_municipality,assisted_deliveries_ranking_below,birth_certificate_municipality,birth_certificate_ranking_below,summary_performance,summary_municipality,summary_ranking_below
CE_N,NASSERE,28,60,18,67,17,51,27,44,24,81,3,0,7,13,19,79,12,53,3,MOINS,46,25
CE_N,PENSA,28,71,13,57,21,5,11,63,15,66,19,33,4,110,4,83,6,28,15,AUTANT,61,7
CE_N,PIBAORE,28,38,27,60,20,17,21,59,18,74,12,0,7,98,10,63,20,26,17,MOINS,44,26
CE_N,PISSILA,28,62,16,85,8,2,6,43,25,65,22,88,1,95,13,56,26,53,2,AUTANT,61,15
CE_N,ROLLO,28,52,22,90,4,2,5,69,11,73,13,0,7,10,21,80,11,51,4,AUTANT,54,17
CE_N,ROUKO,28,52,22,80,9,11,18,72,8,72,14,0,7,11,20,78,13,47,6,MOINS,51,21
CE_N,SABCE,28,53,20,78,12,2,3,36,27,77,9,0,7,7,24,71,14,31,12,MOINS,44,27
CE_N,TIKARE,28,53,21,75,14,9,16,66,14,89,0,100,0,5,25,67,17,24,19,AUTANT,57,12
CE_N,TOUGOURI,28,77,7,76,13,29,25,73,7,67,17,0,7,112,3,82,7,47,5,PLUS,63,5
CE_N,YALGO,28,81,4,47,25,24,24,68,13,49,27,0,7,123,1,95,3,27,16,AUTANT,57,12
CE_N,ZEGUEDEGUIN,28,76,9,90,4,8,15,50,20,82,1,0,7,89,17,59,22,21,25,AUTANT,57,18
CE_N,ZIGA,28,64,15,67,17,14,20,89,1,67,18,0,7,98,9,67,18,24,21,PLUS,57,6
CE_N,ZIMTENGA,28,58,19,80,9,6,12,47,22,80,4,0,7,8,23,81,9,28,13,MOINS,50,21
CE_S,BERE,19,36,17,56,9,2,4,76,0,66,17,50,6,0,#N/A,0,#N/A,0,#N/A,PLUS,24,17
CE_S,BINDE,19,68,4,77,2,5,7,49,16,83,8,50,6,76,15,56,11,34,5,AUTANT,55,10
CE_S,DOULOUGOU,19,39,16,53,11,8,9,70,2,91,5,0,12,91,6,54,14,38,4,MOINS,47,13
CE_S,GAONGO,19,73,2,55,10,20,13,47,18,55,18,0,12,110,1,88,1,9,16,MOINS,49,14
CE_S,GOGO,19,47,14,33,16,-10,0,50,15,72,15,67,1,97,3,72,6,48,3,AUTANT,57,4
CE_S,GOMBOUSSOUGOU,19,54,9,63,5,-7,1,69,3,77,13,100,0,102,2,83,3,32,7,PLUS,70,0
CE_S,GUIARO,19,46,15,50,12,8,10,48,17,66,16,67,1,116,0,107,0,24,9,AUTANT,58,5
CE_S,GUIBA,19,72,3,63,4,4,6,75,1,92,3,29,9,80,13,68,7,22,11,PLUS,61,1
CE_S,IPELCE,19,55,7,92,0,3,5,60,10,96,0,0,12,84,9,57,10,21,12,PLUS,59,2
CE_S,KAYAO,19,76,1,57,8,22,14,54,13,77,14,50,6,88,7,47,16,8,17,AUTANT,51,11
CE_S,KOMBISSIRI,19,51,10,33,16,27,15,55,12,83,7,67,1,91,5,82,4,74,1,PLUS,59,3
CE_S,MANGA,19,80,0,40,15,18,11,63,8,91,4,57,5,74,16,63,9,51,2,AUTANT,58,9
CE_S,NOBÉRÉ,19,50,12,50,12,31,17,68,4,83,9,0,12,87,8,74,5,75,0,AUTANT,54,6
CE_S,PO,19,28,18,32,18,-1,2,63,9,80,11,14,11,83,10,66,8,32,6,MOINS,45,15
CE_S,SAPONE,19,59,6,61,6,28,16,65,6,95,1,67,1,82,11,52,15,23,10,AUTANT,56,7
CE_S,TIEBELE,19,60,5,47,14,1,3,53,14,79,12,0,12,81,12,55,12,19,13,MOINS,43,16
CE_S,TOECE,19,51,11,60,7,8,8,57,11,88,6,18,10,92,4,85,2,9,15,AUTANT,57,8
CE_S,ZECCO,19,50,12,70,3,19,12,67,5,93,2,0,12,80,14,55,13,26,8,AUTANT,50,12
CE_S,ZIOU,19,54,8,80,1,32,18,64,7,82,10,0,12,51,17,43,17,10,14,MOINS,40,18
PLA,ABSOUYA,20,69,5,44,18,18,14,56,10,82,8,40,10,101,3,94,4,45,2,AUTANT,63,7
PLA,BOUDRY,20,64,10,72,7,13,12,79,0,71,17,56,7,111,1,98,1,5,17,PLUS,68,2
PLA,BOUSSE,20,53,16,45,17,-7,1,50,14,78,14,20,14,0,#N/A,0,#N/A,0,#N/A,MOINS,50,18
PLA,DAPELOGO,20,70,4,60,13,4,7,63,7,79,12,0,16,92,12,75,10,19,11,AUTANT,57,10
PLA,KOGHO,20,16,19,80,4,18,15,68,5,79,9,0,16,93,10,66,12,25,7,MOINS,47,16
PLA,LAYE,20,44,17,70,8,-3,3,39,18,97,0,50,8,0,#N/A,0,#N/A,0,#N/A,AUTANT,64,17
PLA,LOUMBILA,20,55,14,67,12,7,9,77,1,78,13,0,16,82,13,62,13,22,8,MOINS,51,12
PLA,MEGUET,20,68,6,73,6,-3,2,53,11,87,3,50,8,94,7,88,6,40,4,PLUS,70,5
PLA,MOGTEDO,20,66,9,55,15,65,19,47,16,53,19,67,5,123,0,96,3,11,14,AUTANT,58,10
PLA,NAGREONGO,20,68,6,87,1,5,8,70,4,85,5,80,4,101,4,81,8,8,16,PLUS,73,3
PLA,NIOU,20,67,8,80,4,11,10,62,8,89,2,100,0,63,17,42,17,21,9,MOINS,58,14
PLA,OURGOU-MANEGA,20,54,15,70,8,21,16,66,6,84,7,0,16,80,14,61,14,29,5,MOINS,48,13
PLA,SALOGO,20,80,0,70,8,2,6,52,13,79,11,33,11,107,2,93,5,10,15,AUTANT,67,8
PLA,SOURGOUBILA,20,37,18,50,16,12,11,36,19,66,18,17,15,71,15,55,15,19,10,MOINS,30,19
PLA,TOEGHIN,20,64,10,90,0,23,17,49,15,84,6,100,0,67,16,43,16,15,12,MOINS,54,14
PLA,ZAM,20,58,13,82,3,-1,4,76,2,78,15,33,11,93,11,80,9,110,0,PLUS,78,1
PLA,ZINIARÉ,20,59,12,44,19,-11,0,71,3,79,10,86,3,96,6,86,7,40,3,PLUS,71,4
PLA,ZITENGA,20,75,2,60,13,34,18,59,9,85,4,100,0,93,9,75,11,29,6,PLUS,65,6
PLA,ZORGHO,20,71,3,85,2,0,5,53,12,91,1,57,6,100,5,100,0,45,1,PLUS,80,0
PLA,ZOUNGOU,20,80,0,70,8,15,13,41,17,77,16,33,11,94,8,98,1,12,13,AUTANT,63,8
SAH,ARIBINDA,26,55,6,55,7,5,8,76,4,42,19,0,10,89,21,59,16,8,20,AUTANT,42,14
SAH,BANI,26,57,4,50,8,33,24,38,21,62,10,0,10,104,13,81,10,38,5,AUTANT,46,15
SAH,BARABOULE,26,38,18,44,14,-1,0,85,1,52,15,100,0,107,7,87,8,10,17,PLUS,62,0
SAH,BOUNDORE,26,50,8,50,8,25,23,32,25,64,7,0,10,105,11,90,7,3,23,AUTANT,44,16
SAH,DEOU,26,33,20,47,13,3,6,61,12,33,23,33,8,122,1,55,17,20,11,MOINS,37,20
SAH,DIGUEL,26,3,25,38,20,10,16,35,22,67,4,,10,65,24,38,22,31,9,MOINS,22,24
SAH,DJIBO,26,40,14,63,5,1,2,65,9,54,13,67,4,85,22,53,18,56,1,AUTANT,49,11
SAH,DORI,26,57,5,65,2,7,12,47,18,63,8,56,7,97,17,67,13,50,2,PLUS,55,6
SAH,FALAGOUNTOU,26,80,0,40,15,6,9,65,8,73,0,0,10,147,0,117,1,40,4,PLUS,69,1
SAH,GORGADJI,26,40,14,64,3,16,19,52,16,35,22,0,10,97,16,66,14,23,10,MOINS,38,20
